datetime,lat,lon,site_id,site_name,duration,qc,parameter,unit,poc,value,data_status
20230715T0944,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,23.79,0
20230715T0946,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,20.37,0
20230715T1029,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,25.02,0
20230715T1109,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,21.13,0
20230715T1117,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,23.62,0
20230715T1151,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,23.36,0
20230715T1152,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,22.75,0
20230715T1226,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,16.48,0
20230715T1240,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,28.57,0
20230715T1313,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,30.25,0
20230715T1326,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,18.16,0
20230715T1336,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,15.6,0
20230715T1432,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,34.6,0
20230715T1444,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,24.84,0
20230715T1505,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,24.24,0
20230715T1532,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,27.52,0
20230715T1629,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,34.34,0
20230715T1657,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,38.94,0
20230715T1759,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,61.62,0
20230715T1800,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,60.12,0
20230715T1924,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,46.81,0
20230715T1946,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,47.32,0
20230715T2009,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,50.42,0
20230715T2033,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,52.73,0
20230715T2142,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,48.54,0
20230715T2237,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,43.95,0
20230715T2305,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,42.59,0
20230716T0740,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,43.78,0
20230716T0748,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,42.13,0
20230716T0750,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,42.23,0
20230716T0910,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,37.09,0
20230716T1042,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,23.35,0
20230716T1113,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,22.39,0
20230716T1115,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,22.57,0
20230716T1124,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,22.33,0
20230716T1137,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,21.72,0
20230716T1214,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,23.38,0
20230716T1223,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,21.98,0
20230716T1225,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,22.57,0
20230716T1301,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,23.36,0
20230716T1331,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,25.44,0
20230716T1356,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,23.31,0
20230716T1357,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,25.98,0
20230716T1408,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,39.84,0
20230716T1445,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,32.15,0
20230716T1452,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,34.91,0
20230716T1613,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,31.32,0
20230716T1617,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,30.14,0
20230716T1823,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,70.35,0
20230716T1825,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,69.02,0
20230716T1848,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,67.03,0
20230716T1908,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,56.27,0
20230716T2033,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,54.29,0
20230716T2051,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,46.97,0
20230716T2323,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,39.09,0
20230716T2354,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,43.52,0
20230716T2357,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,44.02,0
20230717T0652,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,31.02,0
20230717T0745,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,30.01,0
